Date,Adj Close,Close,High,Low,Open,Volume
2004-08-19 00:00:00+00:00,2.493010759,2.49913311,2.591784954,2.390042067,2.490664005,897427216
2004-08-20 00:00:00+00:00,2.691030264,2.697638988,2.716816902,2.503118038,2.515820026,458857488
2004-08-23 00:00:00+00:00,2.718111992,2.724786997,2.826406002,2.716069937,2.758410931,366857939
2004-08-24 00:00:00+00:00,2.605561256,2.611959934,2.77958107,2.579581022,2.770615101,306396159
2004-08-25 00:00:00+00:00,2.633636236,2.640104055,2.689918041,2.58730197,2.614201069,184645512
2004-08-26 00:00:00+00:00,2.681091547,2.687675953,2.688672066,2.606729031,2.613951921,142572401
2004-08-27 00:00:00+00:00,2.637363195,2.643840075,2.705359936,2.632383108,2.692408085,124826132
2004-08-30 00:00:00+00:00,2.534502506,2.5407269,2.627402067,2.5407269,2.622170925,104429967
2004-08-31 00:00:00+00:00,2.543446779,2.549693108,2.583067894,2.544462919,2.547950029,98825037
2004-09-01 00:00:00+00:00,2.490774155,2.496891022,2.564636946,2.482445002,2.557912111,183633734
2004-09-02 00:00:00+00:00,2.522079229,2.528273106,2.549693108,2.464262962,2.470489979,303810504
2004-09-03 00:00:00+00:00,2.484810591,2.490912914,2.534002066,2.473727942,2.514326096,103538639
2004-09-07 00:00:00+00:00,2.523818731,2.530016899,2.540477991,2.480951071,2.515820026,117506800
2004-09-08 00:00:00+00:00,2.541708231,2.547950029,2.566132069,2.503118038,2.509094954,100186120
2004-09-09 00:00:00+00:00,2.541956186,2.548198938,2.55816102,2.515571117,2.553678036,81620792
2004-09-10 00:00:00+00:00,2.616989851,2.623416901,2.654052019,2.523042917,2.530514956,174804764
2004-09-13 00:00:00+00:00,2.670904636,2.677464008,2.700129032,2.651561022,2.655795097,157628624
2004-09-14 00:00:00+00:00,2.77003932,2.776842117,2.789544106,2.659780025,2.676218987,217608605
2004-09-15 00:00:00+00:00,2.782710075,2.789544106,2.845086098,2.744712114,2.753679037,215279909
2004-09-16 00:00:00+00:00,2.831655979,2.838609934,2.88418889,2.780827045,2.798012018,186207345
2004-09-17 00:00:00+00:00,2.919112921,2.926281929,2.926281929,2.82814908,2.849817991,190350817
2004-09-20 00:00:00+00:00,2.965574265,2.972856998,3.0286479,2.908349037,2.912832022,213585582
